Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
245,house,independent,sector 46,4.25,23148.0,5,4,2,3.0,Moderately Old,1836.0,0,0,1,0,0,2,57
246,flat,satya element one,sector 49,0.87,19333.0,1,1,1,2.0,Relatively New,500.0,0,0,0,0,0,0,22
247,flat,birla navya,sector 63a,3.7,15417.0,3,3,3+,1.0,Under Construction,2667.0,0,0,0,0,0,0,72
248,flat,vatika sovereign next sector-82 a gurgaon,sector 82a,2.91,6700.0,4,4,3,6.0,Under Construction,3902.0,1,1,1,0,0,2,79
251,flat,godrej nature plus,sector 33,1.25,9025.0,2,2,3,17.0,Under Construction,1385.0,0,0,0,0,0,0,56
252,flat,godrej nature plus,sector 33,1.3,8349.0,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38
253,flat,vipul lavanya,sector 81,0.75,5967.0,2,2,2,7.0,Moderately Old,1397.0,0,0,0,0,0,0,37
254,house,huda ashok vihar phase,sector 4,0.7,10234.0,3,2,1,2.0,New Property,684.0,1,0,0,0,0,0,7
255,house,rwa sector 46,sector 46,3.5,21605.0,4,4,2,2.0,Relatively New,1620.0,0,0,0,1,0,2,30
256,flat,signature global park,sohna road,0.9,8036.0,3,2,0,2.0,Under Construction,1120.0,0,0,0,0,0,0,58
257,flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0
258,house,independent,sector 7,3.85,14650.0,4,4,3,3.0,Old Property,2628.0,0,0,0,0,0,0,27
259,house,independent,sector 7,1.0,8818.0,2,2,0,0.0,Old Property,126.0,1,0,0,0,0,0,7
260,flat,vipul lavanya,sector 81,0.64,5263.0,2,2,3,12.0,Relatively New,1361.0,0,0,0,0,0,2,93
261,flat,godrej summit,sector 104,0.85,6894.0,2,2,3,12.0,Relatively New,1611.0,1,0,0,0,1,0,61
262,flat,godrej nature plus serenity,sector 33,1.39,11583.0,3,2,3+,23.0,Under Construction,1333.0,0,0,0,0,0,0,105
263,flat,emaar digihomes,sector 62,2.15,14257.0,2,2,3,31.0,Under Construction,1676.0,0,0,0,0,0,0,101
264,flat,godrej,sector 79,2.5,11141.0,3,3,3+,5.0,Relatively New,2244.0,0,0,0,0,0,0,0
265,flat,ss the leaf,sector 85,2.0,8306.0,3,4,3,6.0,Relatively New,2300.0,0,1,0,0,0,0,49
266,house,independent,sector 55,5.0,44444.0,2,9,3+,5.0,New Property,1125.0,0,0,0,0,1,2,44
267,flat,shree vardhman victoria,sector 70,1.65,8462.0,3,4,3,12.0,Relatively New,1765.0,0,1,1,0,0,0,56
268,flat,kiran residency,sector 56,1.5,7500.0,3,3,3+,4.0,Relatively New,1900.0,0,1,0,0,0,2,126
269,flat,signature global city,sector 37d,1.25,6083.0,3,3,3,4.0,Under Construction,2283.0,0,0,0,0,0,0,16
271,house,uppal southend,sector 49,3.75,25562.0,2,6,3+,3.0,Moderately Old,1467.0,1,0,0,0,0,2,26
272,flat,emaar emerald hills,sector 65,1.95,13929.0,3,3,3+,1.0,New Property,1556.0,0,0,1,0,0,2,117
273,flat,orris aster court premier,sector 85,1.45,6840.0,3,4,2,3.0,New Property,1616.0,0,1,0,0,0,0,16
274,flat,afnhb jalvayu vihar,sector 30,0.69,7271.0,2,2,1,3.0,Old Property,896.0,0,0,0,0,0,0,65
275,flat,godrej nature plus,sector 33,1.25,9025.0,2,2,3+,15.0,Under Construction,1539.0,0,0,0,0,0,0,44
276,flat,ss the leaf,sector 85,1.22,13319.0,2,2,3,16.0,Relatively New,1300.0,0,0,1,0,0,0,81
277,flat,dlf the belaire,sector 54,10.0,24558.0,4,5,3+,17.0,Moderately Old,3000.0,0,1,0,0,0,1,167
278,flat,satya the hermitage,sector 103,0.93,6405.0,2,3,3,3.0,Relatively New,1613.0,0,1,0,0,0,2,90
279,flat,zara aavaas,sector 104,0.2,6645.0,1,1,1,3.0,Relatively New,301.0,0,0,0,0,0,0,67
280,house,surendra homes dayaindependentd colony,sector 6,0.75,15625.0,4,4,2,1.0,Moderately Old,480.0,0,0,0,0,0,0,0
281,flat,adani m2k oyster grande,sector 102,2.4,9306.0,3,4,3+,3.0,Relatively New,2334.0,1,0,0,0,0,2,49
282,flat,unitech fresco,sector 50,1.82,9913.0,3,3,3+,14.0,Moderately Old,1830.0,0,0,0,0,1,2,174
283,house,suncity avenue 76,sector 76,0.75,10067.0,2,2,2,11.0,New Property,745.0,0,0,0,0,0,0,40
284,flat,ss the leaf,sector 85,1.65,6852.0,3,4,3,9.0,New Property,2179.0,0,0,0,1,0,0,21
285,flat,gls avenue 51,sector 92,0.21,6954.0,1,1,1,0.0,Relatively New,336.0,0,0,0,0,0,0,63
289,flat,godrej nature plus,sector 33,1.07,7726.0,2,2,2,14.0,Under Construction,1253.0,0,0,0,0,0,0,68
290,flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,11.0,Relatively New,2602.0,1,1,1,1,0,0,38
291,flat,tulip violet,sector 69,1.37,8676.0,3,3,1,12.0,Relatively New,1568.0,0,0,0,1,0,0,95
292,house,independent,sector 17,9.5,23457.0,8,8,3,3.0,Relatively New,4050.0,1,0,0,0,0,2,27
294,house,unitech escape,sector 50,12.0,37037.0,5,6,3+,3.0,Moderately Old,3240.0,0,0,0,0,0,0,66
295,flat,emaar mgf emerald estate,sector 65,1.75,12545.0,3,3,3,10.0,Relatively New,1081.0,0,1,0,0,0,2,124
296,flat,aipl the peaceful homes,sector 70a,2.8,11915.0,3,4,3,22.0,Relatively New,2350.0,0,1,0,0,0,0,49
297,flat,supertech araville,sector 79,0.95,6209.0,2,2,3,7.0,New Property,1385.0,1,0,0,0,0,0,49
298,flat,tulip violet,sector 69,1.32,8413.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,0,86
299,flat,antriksh heights,sector 84,0.89,4369.0,3,3,3,8.0,Relatively New,1833.0,0,0,0,1,0,0,67
300,flat,bestech park view ananda,sector 81,1.4,1931.0,3,3,3+,6.0,Relatively New,1475.0,0,0,0,0,0,0,95
301,flat,godrej air,sector 85,1.4,10000.0,2,2,3,23.0,Relatively New,1400.0,0,0,0,0,0,0,44
302,flat,paras dews,sector 106,1.25,7102.0,3,4,3+,5.0,Relatively New,1186.0,0,1,0,0,0,0,165
303,house,ansal api spanish court,sector 2,2.9,18626.0,4,4,3,2.0,Relatively New,1557.0,0,0,1,0,0,2,49
304,house,independent,sector 25,9.0,28490.0,10,10,3,3.0,Old Property,3159.0,0,0,0,1,0,2,64
305,house,sector 38 rwa,sector 38,4.3,28782.0,3,9,3+,3.0,Relatively New,1494.0,0,0,0,1,1,2,41
306,flat,dlf the ultima,sector 81,2.26,10762.0,3,4,3+,17.0,New Property,1900.0,0,1,0,0,0,1,174
307,flat,today callidora,sector 73,0.9,5549.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,0,63
308,flat,shree vardhman flora,sector 90,0.7,5385.0,2,2,3,13.0,New Property,1176.0,1,0,0,0,0,0,15
309,flat,ats kocoon,sector 109,1.6,9169.0,3,3,3,10.0,Relatively New,1550.0,0,0,0,0,0,0,86
